Detector Z,Ray Number,Ray X,Ray Y,Ray Z,Ray X (pixels),Ray Y (pixels),Dist from 121.01,Dist from 121.01 (highest Y)
121.21,22662,0.012839,-0.00636,121.21,538,1010,-0.3,
121.21,22884,0.012762,-0.00629,121.21,538,1011,-0.3,
121.21,23047,0.01455,-0.00074,121.21,541,1022,-0.3,
121.21,23059,0.014116,-0.00217,121.21,540,1019,-0.3,
121.21,23232,0.013342,0.004888,121.21,539,1034,-0.3,
121.21,23796,0.013455,0.005501,121.21,539,1035,-0.3,
121.21,24569,0.014267,-0.00264,121.21,541,1018,-0.3,
121.21,25239,0.01442,0.001778,121.21,541,1027,-0.3,
121.21,26087,0.013922,-0.00327,121.21,540,1017,-0.3,
121.21,26251,0.013769,-0.00407,121.21,540,1015,-0.3,
121.21,26835,0.013423,0.005163,121.21,539,1034,-0.3,
121.21,27529,0.014392,-0.00026,121.21,541,1023,-0.3,
121.21,27838,0.014129,0.002559,121.21,540,1029,-0.3,
121.21,27884,0.013982,-0.00252,121.21,540,1018,-0.3,
121.21,28146,0.012908,0.005876,121.21,538,1036,-0.3,
121.21,28395,0.014233,0.001851,121.21,541,1027,-0.3,
121.21,28503,0.014325,-0.0019,121.21,541,1020,-0.3,
121.21,28925,0.013031,0.006278,121.21,538,1036,-0.3,
121.21,29147,0.01416,-0.00345,121.21,540,1016,-0.3,
121.21,29964,0.014068,-0.00246,121.21,540,1018,-0.3,
121.21,31435,0.014292,-0.00177,121.21,541,1020,-0.3,
121.21,32077,0.014094,-0.00306,121.21,540,1017,-0.3,
121.21,32362,0.014173,-0.00106,121.21,541,1021,-0.3,
121.21,32662,0.013332,-0.00546,121.21,539,1012,-0.3,
121.21,33168,0.013183,-0.00619,121.21,538,1011,-0.3,
121.21,33856,0.014504,0.000842,121.21,541,1025,-0.3,
121.21,33859,0.013104,-0.00612,121.21,538,1011,-0.3,
121.21,34101,0.014335,-0.00099,121.21,541,1021,-0.3,
121.21,34398,0.013479,-0.005,121.21,539,1013,-0.3,
121.21,34482,0.013395,-0.00469,121.21,539,1014,-0.3,
121.21,34745,0.014065,0.003481,121.21,540,1031,-0.3,
121.21,34834,0.014212,-0.00157,121.21,541,1020,-0.3,
121.21,34882,0.014125,0.001526,121.21,540,1027,-0.3,
121.21,34966,0.014055,-0.00286,121.21,540,1018,-0.3,
121.21,35545,0.013104,0.006343,121.21,538,1036,-0.3,
121.21,35577,0.014468,-1.78E-05,121.21,541,1023,-0.3,
121.21,36432,0.014068,-0.003,121.21,540,1017,-0.3,
121.21,37102,0.013105,0.005781,121.21,538,1035,-0.3,
121.21,37837,0.014312,-0.00084,121.21,541,1022,-0.3,
121.21,38119,0.014454,0.001359,121.21,541,1026,-0.3,
121.21,39946,0.014345,0.001011,121.21,541,1026,-0.3,
121.21,40034,0.013297,-0.00503,121.21,539,1013,-0.3,
121.21,40164,0.014118,0.00281,121.21,540,1029,-0.3,
121.21,40212,0.014036,-0.00213,121.21,540,1019,-0.3,
121.21,41005,0.012941,0.006389,121.21,538,1037,-0.3,
121.21,41058,0.014344,-0.00077,121.21,541,1022,-0.3,
121.21,41463,0.014117,0.002051,121.21,540,1028,-0.3,
121.21,42076,0.013603,-0.005,121.21,539,1013,-0.3,
121.21,42272,0.013407,0.005313,121.21,539,1034,-0.3,
121.21,42323,0.013808,0.004363,121.21,540,1032,-0.3,
121.21,42699,0.012726,0.006904,121.21,538,1038,-0.3,-0.3
121.21,42870,0.013232,0.005165,121.21,539,1034,-0.3,
121.21,42982,0.014363,0.000424,121.21,541,1024,-0.3,
121.21,43508,0.014039,-0.00236,121.21,540,1019,-0.3,
121.21,43573,0.013164,0.006067,121.21,538,1036,-0.3,
121.21,44115,0.014161,0.001699,121.21,541,1027,-0.3,
121.21,44533,0.01433,0.002156,121.21,541,1028,-0.3,
121.21,44549,0.013746,0.004406,121.21,540,1033,-0.3,
121.21,44762,0.012792,-0.00662,121.21,538,1010,-0.3,
